H-1	TOT
1.632860E-05	1.309150E+01
1.801110E-05	1.246510E+01
1.986690E-05	1.186860E+01
2.191390E-05	1.130070E+01
2.417190E-05	1.075990E+01
2.666250E-05	1.024510E+01
2.940970E-05	9.754840E+00
3.244000E-05	9.288060E+00
3.578250E-05	8.843620E+00
3.946940E-05	8.420440E+00
4.353620E-05	8.017520E+00
4.802210E-05	7.633870E+00
5.297010E-05	7.268580E+00
5.842800E-05	6.920770E+00
6.444820E-05	6.589610E+00
7.108880E-05	6.274290E+00
7.841360E-05	5.974060E+00
8.649310E-05	5.688200E+00
9.540510E-05	5.416010E+00
1.052350E-04	5.156850E+00
1.160780E-04	4.910090E+00
1.280390E-04	4.675140E+00
1.412320E-04	4.451430E+00
1.557840E-04	4.238420E+00
1.718350E-04	4.035610E+00
1.895400E-04	3.842500E+00
2.090700E-04	3.658640E+00
2.306120E-04	3.483570E+00
2.543740E-04	3.316880E+00
2.805840E-04	3.158160E+00
3.094940E-04	3.007040E+00
3.413830E-04	2.863150E+00
3.765580E-04	2.726150E+00
4.153580E-04	2.595700E+00
4.581550E-04	2.471490E+00
5.053620E-04	2.353230E+00
5.574330E-04	2.240620E+00
6.148690E-04	2.133410E+00
6.782230E-04	2.031320E+00
7.481050E-04	1.934120E+00
8.251880E-04	1.841570E+00
9.102130E-04	1.753450E+00
1.004000E-03	1.669550E+00
1.107450E-03	1.589660E+00
1.221550E-03	1.513590E+00
1.347420E-03	1.441170E+00
1.486250E-03	1.372200E+00
1.639390E-03	1.306540E+00
1.808310E-03	1.244020E+00
1.994630E-03	1.184500E+00
2.200160E-03	1.127820E+00
2.426850E-03	1.073850E+00
2.676910E-03	1.022470E+00
2.952730E-03	9.735390E-01
3.256970E-03	9.269550E-01
3.592560E-03	8.825990E-01
3.962720E-03	8.403660E-01
4.371030E-03	8.001540E-01
4.821410E-03	7.618660E-01
5.318190E-03	7.254100E-01
5.866160E-03	6.906980E-01
6.470590E-03	6.576480E-01
7.137300E-03	6.261790E-01
7.872710E-03	5.962150E-01
8.683890E-03	5.676860E-01
9.578650E-03	5.405220E-01
1.056560E-02	5.146570E-01
1.165430E-02	4.900300E-01
1.285510E-02	4.665820E-01
1.417960E-02	4.442560E-01
